"Name","Gender","Career","CosineSimilarity","STEM"
"James","M","Software.Developer",0.45408675,"Yes"
"James","M","Nurse.Practitioner",0.4435532,"Yes"
"James","M","Health.Services.Manager",0.4804548,"Yes"
"James","M","Physicians.Assistant",0.38360578,"Yes"
"James","M","Security.Analyst",0.4440378,"Yes"
"James","M","IT.Manager",0.50733525,"Yes"
"James","M","Web.Developer",0.43802756,"Yes"
"James","M","Dentist",0.57361335,"Yes"
"James","M","Orthodontist",0.47162455,"Yes"
"James","M","Computer.Systems.Analyst",0.41492724,"Yes"
"John","M","Software.Developer",0.4279796,"Yes"
"John","M","Nurse.Practitioner",0.46231115,"Yes"
"John","M","Health.Services.Manager",0.5034952,"Yes"
"John","M","Physicians.Assistant",0.44100836,"Yes"
"John","M","Security.Analyst",0.44537765,"Yes"
"John","M","IT.Manager",0.53361225,"Yes"
"John","M","Web.Developer",0.4200852,"Yes"
"John","M","Dentist",0.57669806,"Yes"
"John","M","Orthodontist",0.50987864,"Yes"
"John","M","Computer.Systems.Analyst",0.41902822,"Yes"
"Robert","M","Software.Developer",0.38138986,"Yes"
"Robert","M","Nurse.Practitioner",0.42112553,"Yes"
"Robert","M","Health.Services.Manager",0.46476048,"Yes"
"Robert","M","Physicians.Assistant",0.4143936,"Yes"
"Robert","M","Security.Analyst",0.42208713,"Yes"
"Robert","M","IT.Manager",0.4943229,"Yes"
"Robert","M","Web.Developer",0.3450409,"Yes"
"Robert","M","Dentist",0.54402554,"Yes"
"Robert","M","Orthodontist",0.48764884,"Yes"
"Robert","M","Computer.Systems.Analyst",0.3918777,"Yes"
"Michael","M","Software.Developer",0.44124842,"Yes"
"Michael","M","Nurse.Practitioner",0.49041718,"Yes"
"Michael","M","Health.Services.Manager",0.48778424,"Yes"
"Michael","M","Physicians.Assistant",0.43647408,"Yes"
"Michael","M","Security.Analyst",0.4440432,"Yes"
"Michael","M","IT.Manager",0.5078434,"Yes"
"Michael","M","Web.Developer",0.43844157,"Yes"
"Michael","M","Dentist",0.5776464,"Yes"
"Michael","M","Orthodontist",0.49458602,"Yes"
"Michael","M","Computer.Systems.Analyst",0.4330812,"Yes"
"William","M","Software.Developer",0.37733877,"Yes"
"William","M","Nurse.Practitioner",0.48539576,"Yes"
"William","M","Health.Services.Manager",0.45706898,"Yes"
"William","M","Physicians.Assistant",0.4324504,"Yes"
"William","M","Security.Analyst",0.42260918,"Yes"
"William","M","IT.Manager",0.48179305,"Yes"
"William","M","Web.Developer",0.3544098,"Yes"
"William","M","Dentist",0.5235001,"Yes"
"William","M","Orthodontist",0.44993797,"Yes"
"William","M","Computer.Systems.Analyst",0.39749646,"Yes"
"David","M","Software.Developer",0.4387192,"Yes"
"David","M","Nurse.Practitioner",0.44872305,"Yes"
"David","M","Health.Services.Manager",0.46783972,"Yes"
"David","M","Physicians.Assistant",0.41195554,"Yes"
"David","M","Security.Analyst",0.44402385,"Yes"
"David","M","IT.Manager",0.50484234,"Yes"
"David","M","Web.Developer",0.41682482,"Yes"
"David","M","Dentist",0.57584614,"Yes"
"David","M","Orthodontist",0.51249707,"Yes"
"David","M","Computer.Systems.Analyst",0.43157905,"Yes"
"Joseph","M","Software.Developer",0.42062256,"Yes"
"Joseph","M","Nurse.Practitioner",0.4767633,"Yes"
"Joseph","M","Health.Services.Manager",0.4678847,"Yes"
"Joseph","M","Physicians.Assistant",0.40652448,"Yes"
"Joseph","M","Security.Analyst",0.41127628,"Yes"
"Joseph","M","IT.Manager",0.4851478,"Yes"
"Joseph","M","Web.Developer",0.423167,"Yes"
"Joseph","M","Dentist",0.5625944,"Yes"
"Joseph","M","Orthodontist",0.46181408,"Yes"
"Joseph","M","Computer.Systems.Analyst",0.3782743,"Yes"
"Richard","M","Software.Developer",0.40010247,"Yes"
"Richard","M","Nurse.Practitioner",0.47797275,"Yes"
"Richard","M","Health.Services.Manager",0.48445556,"Yes"
"Richard","M","Physicians.Assistant",0.42577085,"Yes"
"Richard","M","Security.Analyst",0.43285334,"Yes"
"Richard","M","IT.Manager",0.5046535,"Yes"
"Richard","M","Web.Developer",0.3752374,"Yes"
"Richard","M","Dentist",0.5562387,"Yes"
"Richard","M","Orthodontist",0.47131678,"Yes"
"Richard","M","Computer.Systems.Analyst",0.43691757,"Yes"
"Charles","M","Software.Developer",0.42798603,"Yes"
"Charles","M","Nurse.Practitioner",0.48161137,"Yes"
"Charles","M","Health.Services.Manager",0.46611148,"Yes"
"Charles","M","Physicians.Assistant",0.4346841,"Yes"
"Charles","M","Security.Analyst",0.45048267,"Yes"
"Charles","M","IT.Manager",0.49059558,"Yes"
"Charles","M","Web.Developer",0.41794473,"Yes"
"Charles","M","Dentist",0.52993095,"Yes"
"Charles","M","Orthodontist",0.46063608,"Yes"
"Charles","M","Computer.Systems.Analyst",0.4193144,"Yes"
"Thomas","M","Software.Developer",0.46480167,"Yes"
"Thomas","M","Nurse.Practitioner",0.4705062,"Yes"
"Thomas","M","Health.Services.Manager",0.47776765,"Yes"
"Thomas","M","Physicians.Assistant",0.40637225,"Yes"
"Thomas","M","Security.Analyst",0.47658187,"Yes"
"Thomas","M","IT.Manager",0.5137335,"Yes"
"Thomas","M","Web.Developer",0.4555284,"Yes"
"Thomas","M","Dentist",0.5943576,"Yes"
"Thomas","M","Orthodontist",0.467668,"Yes"
"Thomas","M","Computer.Systems.Analyst",0.43931174,"Yes"
"Christopher","M","Software.Developer",0.42954463,"Yes"
"Christopher","M","Nurse.Practitioner",0.46715075,"Yes"
"Christopher","M","Health.Services.Manager",0.5020188,"Yes"
"Christopher","M","Physicians.Assistant",0.4674406,"Yes"
"Christopher","M","Security.Analyst",0.480588,"Yes"
"Christopher","M","IT.Manager",0.52405703,"Yes"
"Christopher","M","Web.Developer",0.42223924,"Yes"
"Christopher","M","Dentist",0.564309,"Yes"
"Christopher","M","Orthodontist",0.47681832,"Yes"
"Christopher","M","Computer.Systems.Analyst",0.46557248,"Yes"
"Daniel","M","Software.Developer",0.4509545,"Yes"
"Daniel","M","Nurse.Practitioner",0.43901628,"Yes"
"Daniel","M","Health.Services.Manager",0.4900868,"Yes"
"Daniel","M","Physicians.Assistant",0.4027331,"Yes"
"Daniel","M","Security.Analyst",0.4739018,"Yes"
"Daniel","M","IT.Manager",0.5151101,"Yes"
"Daniel","M","Web.Developer",0.44254166,"Yes"
"Daniel","M","Dentist",0.5844648,"Yes"
"Daniel","M","Orthodontist",0.5082346,"Yes"
"Daniel","M","Computer.Systems.Analyst",0.45175105,"Yes"
"Matthew","M","Software.Developer",0.4264284,"Yes"
"Matthew","M","Nurse.Practitioner",0.48666844,"Yes"
"Matthew","M","Health.Services.Manager",0.48846328,"Yes"
"Matthew","M","Physicians.Assistant",0.42472002,"Yes"
"Matthew","M","Security.Analyst",0.46682736,"Yes"
"Matthew","M","IT.Manager",0.52808726,"Yes"
"Matthew","M","Web.Developer",0.43709406,"Yes"
"Matthew","M","Dentist",0.57576525,"Yes"
"Matthew","M","Orthodontist",0.4565066,"Yes"
"Matthew","M","Computer.Systems.Analyst",0.41592973,"Yes"
"George","M","Software.Developer",0.40477446,"Yes"
"George","M","Nurse.Practitioner",0.42930245,"Yes"
"George","M","Health.Services.Manager",0.4870114,"Yes"
"George","M","Physicians.Assistant",0.43245637,"Yes"
"George","M","Security.Analyst",0.42060888,"Yes"
"George","M","IT.Manager",0.4838168,"Yes"
"George","M","Web.Developer",0.3884831,"Yes"
"George","M","Dentist",0.53480905,"Yes"
"George","M","Orthodontist",0.44789255,"Yes"
"George","M","Computer.Systems.Analyst",0.40295565,"Yes"
"Anthony","M","Software.Developer",0.4375897,"Yes"
"Anthony","M","Nurse.Practitioner",0.50230336,"Yes"
"Anthony","M","Health.Services.Manager",0.5337415,"Yes"
"Anthony","M","Physicians.Assistant",0.44617048,"Yes"
"Anthony","M","Security.Analyst",0.49787265,"Yes"
"Anthony","M","IT.Manager",0.5206857,"Yes"
"Anthony","M","Web.Developer",0.435198,"Yes"
"Anthony","M","Dentist",0.6081266,"Yes"
"Anthony","M","Orthodontist",0.5087621,"Yes"
"Anthony","M","Computer.Systems.Analyst",0.4616354,"Yes"
"Donald","M","Software.Developer",0.41783917,"Yes"
"Donald","M","Nurse.Practitioner",0.439256,"Yes"
"Donald","M","Health.Services.Manager",0.47267616,"Yes"
"Donald","M","Physicians.Assistant",0.41363558,"Yes"
"Donald","M","Security.Analyst",0.46304548,"Yes"
"Donald","M","IT.Manager",0.49163187,"Yes"
"Donald","M","Web.Developer",0.39880416,"Yes"
"Donald","M","Dentist",0.5648804,"Yes"
"Donald","M","Orthodontist",0.51700073,"Yes"
"Donald","M","Computer.Systems.Analyst",0.4336584,"Yes"
"Paul","M","Software.Developer",0.42617768,"Yes"
"Paul","M","Nurse.Practitioner",0.4735562,"Yes"
"Paul","M","Health.Services.Manager",0.47375458,"Yes"
"Paul","M","Physicians.Assistant",0.4014621,"Yes"
"Paul","M","Security.Analyst",0.44795763,"Yes"
"Paul","M","IT.Manager",0.5041579,"Yes"
"Paul","M","Web.Developer",0.42176282,"Yes"
"Paul","M","Dentist",0.5290963,"Yes"
"Paul","M","Orthodontist",0.46849504,"Yes"
"Paul","M","Computer.Systems.Analyst",0.4076159,"Yes"
"Mark","M","Software.Developer",0.42748135,"Yes"
"Mark","M","Nurse.Practitioner",0.45037273,"Yes"
"Mark","M","Health.Services.Manager",0.48261654,"Yes"
"Mark","M","Physicians.Assistant",0.4415611,"Yes"
"Mark","M","Security.Analyst",0.4551937,"Yes"
"Mark","M","IT.Manager",0.53369546,"Yes"
"Mark","M","Web.Developer",0.40613413,"Yes"
"Mark","M","Dentist",0.5641273,"Yes"
"Mark","M","Orthodontist",0.50862545,"Yes"
"Mark","M","Computer.Systems.Analyst",0.4439584,"Yes"
"Andrew","M","Software.Developer",0.40692112,"Yes"
"Andrew","M","Nurse.Practitioner",0.4476641,"Yes"
"Andrew","M","Health.Services.Manager",0.47152907,"Yes"
"Andrew","M","Physicians.Assistant",0.44246244,"Yes"
"Andrew","M","Security.Analyst",0.42417908,"Yes"
"Andrew","M","IT.Manager",0.4917577,"Yes"
"Andrew","M","Web.Developer",0.41480008,"Yes"
"Andrew","M","Dentist",0.52052534,"Yes"
"Andrew","M","Orthodontist",0.46973464,"Yes"
"Andrew","M","Computer.Systems.Analyst",0.40939543,"Yes"
"Edward","M","Software.Developer",0.41152495,"Yes"
"Edward","M","Nurse.Practitioner",0.47218996,"Yes"
"Edward","M","Health.Services.Manager",0.5015407,"Yes"
"Edward","M","Physicians.Assistant",0.44066164,"Yes"
"Edward","M","Security.Analyst",0.43093497,"Yes"
"Edward","M","IT.Manager",0.5197855,"Yes"
"Edward","M","Web.Developer",0.38854453,"Yes"
"Edward","M","Dentist",0.55312634,"Yes"
"Edward","M","Orthodontist",0.48129493,"Yes"
"Edward","M","Computer.Systems.Analyst",0.41071168,"Yes"
"Mary","F","Software.Developer",0.3793643,"Yes"
"Mary","F","Nurse.Practitioner",0.4898687,"Yes"
"Mary","F","Health.Services.Manager",0.5085699,"Yes"
"Mary","F","Physicians.Assistant",0.4802957,"Yes"
"Mary","F","Security.Analyst",0.45492518,"Yes"
"Mary","F","IT.Manager",0.4874267,"Yes"
"Mary","F","Web.Developer",0.3897129,"Yes"
"Mary","F","Dentist",0.5744109,"Yes"
"Mary","F","Orthodontist",0.42951328,"Yes"
"Mary","F","Computer.Systems.Analyst",0.42138776,"Yes"
"Elizabeth","F","Software.Developer",0.3622946,"Yes"
"Elizabeth","F","Nurse.Practitioner",0.43729532,"Yes"
"Elizabeth","F","Health.Services.Manager",0.48807853,"Yes"
"Elizabeth","F","Physicians.Assistant",0.45365402,"Yes"
"Elizabeth","F","Security.Analyst",0.4107921,"Yes"
"Elizabeth","F","IT.Manager",0.4615726,"Yes"
"Elizabeth","F","Web.Developer",0.366037,"Yes"
"Elizabeth","F","Dentist",0.5286132,"Yes"
"Elizabeth","F","Orthodontist",0.42910543,"Yes"
"Elizabeth","F","Computer.Systems.Analyst",0.38964605,"Yes"
"Patricia","F","Software.Developer",0.35117358,"Yes"
"Patricia","F","Nurse.Practitioner",0.47973415,"Yes"
"Patricia","F","Health.Services.Manager",0.494978,"Yes"
"Patricia","F","Physicians.Assistant",0.49981594,"Yes"
"Patricia","F","Security.Analyst",0.4458248,"Yes"
"Patricia","F","IT.Manager",0.46332175,"Yes"
"Patricia","F","Web.Developer",0.3588912,"Yes"
"Patricia","F","Dentist",0.54208565,"Yes"
"Patricia","F","Orthodontist",0.4555797,"Yes"
"Patricia","F","Computer.Systems.Analyst",0.45099154,"Yes"
"Jennifer","F","Software.Developer",0.3855152,"Yes"
"Jennifer","F","Nurse.Practitioner",0.4012772,"Yes"
"Jennifer","F","Health.Services.Manager",0.41968596,"Yes"
"Jennifer","F","Physicians.Assistant",0.39813986,"Yes"
"Jennifer","F","Security.Analyst",0.38677424,"Yes"
"Jennifer","F","IT.Manager",0.44950217,"Yes"
"Jennifer","F","Web.Developer",0.37852082,"Yes"
"Jennifer","F","Dentist",0.49365693,"Yes"
"Jennifer","F","Orthodontist",0.37562507,"Yes"
"Jennifer","F","Computer.Systems.Analyst",0.3881485,"Yes"
"Linda","F","Software.Developer",0.3621071,"Yes"
"Linda","F","Nurse.Practitioner",0.37796852,"Yes"
"Linda","F","Health.Services.Manager",0.4414481,"Yes"
"Linda","F","Physicians.Assistant",0.39562142,"Yes"
"Linda","F","Security.Analyst",0.4220646,"Yes"
"Linda","F","IT.Manager",0.45104563,"Yes"
"Linda","F","Web.Developer",0.35738745,"Yes"
"Linda","F","Dentist",0.5003309,"Yes"
"Linda","F","Orthodontist",0.42751092,"Yes"
"Linda","F","Computer.Systems.Analyst",0.4008816,"Yes"
"Barbara","F","Software.Developer",0.3735072,"Yes"
"Barbara","F","Nurse.Practitioner",0.45138898,"Yes"
"Barbara","F","Health.Services.Manager",0.51687336,"Yes"
"Barbara","F","Physicians.Assistant",0.4703447,"Yes"
"Barbara","F","Security.Analyst",0.46188927,"Yes"
"Barbara","F","IT.Manager",0.47643635,"Yes"
"Barbara","F","Web.Developer",0.37843788,"Yes"
"Barbara","F","Dentist",0.5437634,"Yes"
"Barbara","F","Orthodontist",0.4257498,"Yes"
"Barbara","F","Computer.Systems.Analyst",0.44118816,"Yes"
"Margaret","F","Software.Developer",0.35301077,"Yes"
"Margaret","F","Nurse.Practitioner",0.43521672,"Yes"
"Margaret","F","Health.Services.Manager",0.48519295,"Yes"
"Margaret","F","Physicians.Assistant",0.5067107,"Yes"
"Margaret","F","Security.Analyst",0.41748124,"Yes"
"Margaret","F","IT.Manager",0.44142628,"Yes"
"Margaret","F","Web.Developer",0.3366337,"Yes"
"Margaret","F","Dentist",0.5101547,"Yes"
"Margaret","F","Orthodontist",0.40474063,"Yes"
"Margaret","F","Computer.Systems.Analyst",0.41732317,"Yes"
"Susan","F","Software.Developer",0.35749203,"Yes"
"Susan","F","Nurse.Practitioner",0.4741648,"Yes"
"Susan","F","Health.Services.Manager",0.48014584,"Yes"
"Susan","F","Physicians.Assistant",0.5040609,"Yes"
"Susan","F","Security.Analyst",0.42651153,"Yes"
"Susan","F","IT.Manager",0.46057212,"Yes"
"Susan","F","Web.Developer",0.37299377,"Yes"
"Susan","F","Dentist",0.54840624,"Yes"
"Susan","F","Orthodontist",0.42647895,"Yes"
"Susan","F","Computer.Systems.Analyst",0.40686393,"Yes"
"Dorothy","F","Software.Developer",0.35126913,"Yes"
"Dorothy","F","Nurse.Practitioner",0.48940963,"Yes"
"Dorothy","F","Health.Services.Manager",0.4611265,"Yes"
"Dorothy","F","Physicians.Assistant",0.4627592,"Yes"
"Dorothy","F","Security.Analyst",0.38525864,"Yes"
"Dorothy","F","IT.Manager",0.43816423,"Yes"
"Dorothy","F","Web.Developer",0.38298738,"Yes"
"Dorothy","F","Dentist",0.5214615,"Yes"
"Dorothy","F","Orthodontist",0.40502697,"Yes"
"Dorothy","F","Computer.Systems.Analyst",0.35962853,"Yes"
"Sarah","F","Software.Developer",0.43027127,"Yes"
"Sarah","F","Nurse.Practitioner",0.49279425,"Yes"
"Sarah","F","Health.Services.Manager",0.49343964,"Yes"
"Sarah","F","Physicians.Assistant",0.46892202,"Yes"
"Sarah","F","Security.Analyst",0.49745405,"Yes"
"Sarah","F","IT.Manager",0.5067357,"Yes"
"Sarah","F","Web.Developer",0.4484556,"Yes"
"Sarah","F","Dentist",0.582416,"Yes"
"Sarah","F","Orthodontist",0.45204934,"Yes"
"Sarah","F","Computer.Systems.Analyst",0.45300734,"Yes"
"Jessica","F","Software.Developer",0.39955625,"Yes"
"Jessica","F","Nurse.Practitioner",0.41003916,"Yes"
"Jessica","F","Health.Services.Manager",0.4490437,"Yes"
"Jessica","F","Physicians.Assistant",0.42492503,"Yes"
"Jessica","F","Security.Analyst",0.437432,"Yes"
"Jessica","F","IT.Manager",0.49013036,"Yes"
"Jessica","F","Web.Developer",0.41061276,"Yes"
"Jessica","F","Dentist",0.5332258,"Yes"
"Jessica","F","Orthodontist",0.44402826,"Yes"
"Jessica","F","Computer.Systems.Analyst",0.42758107,"Yes"
"Helen","F","Software.Developer",0.3724661,"Yes"
"Helen","F","Nurse.Practitioner",0.4394064,"Yes"
"Helen","F","Health.Services.Manager",0.500384,"Yes"
"Helen","F","Physicians.Assistant",0.44471365,"Yes"
"Helen","F","Security.Analyst",0.42622125,"Yes"
"Helen","F","IT.Manager",0.4954993,"Yes"
"Helen","F","Web.Developer",0.35927302,"Yes"
"Helen","F","Dentist",0.53240156,"Yes"
"Helen","F","Orthodontist",0.4407774,"Yes"
"Helen","F","Computer.Systems.Analyst",0.39892533,"Yes"
"Nancy","F","Software.Developer",0.4371518,"Yes"
"Nancy","F","Nurse.Practitioner",0.49165002,"Yes"
"Nancy","F","Health.Services.Manager",0.50678235,"Yes"
"Nancy","F","Physicians.Assistant",0.48465222,"Yes"
"Nancy","F","Security.Analyst",0.46786243,"Yes"
"Nancy","F","IT.Manager",0.5027793,"Yes"
"Nancy","F","Web.Developer",0.420398,"Yes"
"Nancy","F","Dentist",0.5550692,"Yes"
"Nancy","F","Orthodontist",0.44389403,"Yes"
"Nancy","F","Computer.Systems.Analyst",0.4468568,"Yes"
"Betty","F","Software.Developer",0.43071246,"Yes"
"Betty","F","Nurse.Practitioner",0.45392078,"Yes"
"Betty","F","Health.Services.Manager",0.5139134,"Yes"
"Betty","F","Physicians.Assistant",0.4103924,"Yes"
"Betty","F","Security.Analyst",0.49428466,"Yes"
"Betty","F","IT.Manager",0.5176474,"Yes"
"Betty","F","Web.Developer",0.4516868,"Yes"
"Betty","F","Dentist",0.57151824,"Yes"
"Betty","F","Orthodontist",0.43348184,"Yes"
"Betty","F","Computer.Systems.Analyst",0.4446345,"Yes"
"Karen","F","Software.Developer",0.3845007,"Yes"
"Karen","F","Nurse.Practitioner",0.4628593,"Yes"
"Karen","F","Health.Services.Manager",0.48978633,"Yes"
"Karen","F","Physicians.Assistant",0.4763971,"Yes"
"Karen","F","Security.Analyst",0.47489366,"Yes"
"Karen","F","IT.Manager",0.49273288,"Yes"
"Karen","F","Web.Developer",0.40080914,"Yes"
"Karen","F","Dentist",0.54839194,"Yes"
"Karen","F","Orthodontist",0.47098854,"Yes"
"Karen","F","Computer.Systems.Analyst",0.4550134,"Yes"
"Lisa","F","Software.Developer",0.40311325,"Yes"
"Lisa","F","Nurse.Practitioner",0.42242962,"Yes"
"Lisa","F","Health.Services.Manager",0.44013625,"Yes"
"Lisa","F","Physicians.Assistant",0.43342704,"Yes"
"Lisa","F","Security.Analyst",0.46055642,"Yes"
"Lisa","F","IT.Manager",0.48324442,"Yes"
"Lisa","F","Web.Developer",0.410812,"Yes"
"Lisa","F","Dentist",0.53171813,"Yes"
"Lisa","F","Orthodontist",0.48996913,"Yes"
"Lisa","F","Computer.Systems.Analyst",0.43107095,"Yes"
"Anna","F","Software.Developer",0.34732825,"Yes"
"Anna","F","Nurse.Practitioner",0.42072043,"Yes"
"Anna","F","Health.Services.Manager",0.43431848,"Yes"
"Anna","F","Physicians.Assistant",0.3987087,"Yes"
"Anna","F","Security.Analyst",0.44860953,"Yes"
"Anna","F","IT.Manager",0.43456167,"Yes"
"Anna","F","Web.Developer",0.35481155,"Yes"
"Anna","F","Dentist",0.50728804,"Yes"
"Anna","F","Orthodontist",0.49496734,"Yes"
"Anna","F","Computer.Systems.Analyst",0.41392326,"Yes"
